,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Year,Month_Year,Discount_percentage,Selling Price Per Unit,Cost Price Per Unit
75,37010,US-2011-143707,2011-01-03,2011-05-03,Standard Class,HR-14770,Hallie Redmond,Home Office,New York City,New York,United States,10035.0,US,East,TEC-PH-10003655,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,5.94,3,0.0,1.6038,0.42,Medium,2011,2011-01,0.0,1.9800000000000002,1.4454000000000002
91,32669,US-2011-157021,2011-01-04,2011-06-04,Second Class,KM-16720,Kunst Miller,Consumer,Vallejo,California,United States,94591.0,US,West,OFF-LA-10002312,Office Supplies,Labels,Avery 490,29.6,2,0.0,14.8,3.01,Medium,2011,2011-01,0.0,14.8,7.4
94,39250,CA-2011-138359,2011-01-04,2011-06-04,Standard Class,KH-16330,Katharine Harms,Corporate,Revere,Massachusetts,United States,2151.0,US,East,OFF-ST-10000636,Office Supplies,Storage,Rogers Profile Extra Capacity Storage Tub,66.96,4,0.0,2.6784,1.57,Medium,2011,2011-01,0.0,16.74,16.0704
97,32670,US-2011-157021,2011-01-04,2011-06-04,Second Class,KM-16720,Kunst Miller,Consumer,Vallejo,California,United States,94591.0,US,West,OFF-BI-10000042,Office Supplies,Binders,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",17.088,4,0.2,5.5536,0.65,Medium,2011,2011-01,20.0,4.272,2.8836000000000004
98,39251,CA-2011-138359,2011-01-04,2011-06-04,Standard Class,KH-16330,Katharine Harms,Corporate,Revere,Massachusetts,United States,2151.0,US,East,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,6.24,2,0.0,3.0576,0.34,Medium,2011,2011-01,0.0,3.12,1.5912000000000002
103,31544,CA-2011-131926,2011-01-06,2011-06-06,Second Class,DW-13480,Dianna Wilson,Home Office,Lakeville,Minnesota,United States,55044.0,US,Central,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25,5,0.0,496.0725,120.84,Medium,2011,2011-01,0.0,300.65,201.4355
104,33498,US-2011-165659,2011-01-06,2011-06-06,Standard Class,LT-17110,Liz Thompson,Consumer,Little Rock,Arkansas,United States,72209.0,US,South,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,881.93,7,0.0,229.3018,112.32,High,2011,2011-01,0.0,125.99,93.2326
105,31541,CA-2011-131926,2011-01-06,2011-06-06,Second Class,DW-13480,Dianna Wilson,Home Office,Lakeville,Minnesota,United States,55044.0,US,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,7,0.0,580.5394,81.39,Medium,2011,2011-01,0.0,285.97999999999996,203.0458
117,31604,CA-2011-111003,2011-01-06,2011-06-06,Standard Class,CR-12625,Corey Roper,Home Office,Lakewood,New Jersey,United States,8701.0,US,East,OFF-AR-10002135,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,289.2,6,0.0,83.868,14.33,Medium,2011,2011-01,0.0,48.199999999999996,34.222
119,40446,US-2011-157070,2011-01-06,2011-06-06,Standard Class,QJ-19255,Quincy Jones,Corporate,Detroit,Michigan,United States,48234.0,US,Central,OFF-BI-10001765,Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,138.56,4,0.0,66.5088,11.26,Medium,2011,2011-01,0.0,34.64,18.012800000000002
122,31542,CA-2011-131926,2011-01-06,2011-06-06,Second Class,DW-13480,Dianna Wilson,Home Office,Lakeville,Minnesota,United States,55044.0,US,Central,OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart,166.72,2,0.0,41.68,8.11,Medium,2011,2011-01,0.0,83.36,62.519999999999996
125,40447,US-2011-157070,2011-01-06,2011-06-06,Standard Class,QJ-19255,Quincy Jones,Corporate,Detroit,Michigan,United States,48234.0,US,Central,OFF-AP-10004859,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,65.52,5,0.1,12.376,5.8,Medium,2011,2011-01,10.0,13.104,10.6288
127,31543,CA-2011-131926,2011-01-06,2011-06-06,Second Class,DW-13480,Dianna Wilson,Home Office,Lakeville,Minnesota,United States,55044.0,US,Central,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",47.88,6,0.0,23.94,4.27,Medium,2011,2011-01,0.0,7.98,3.99
133,33497,US-2011-165659,2011-01-06,2011-06-06,Standard Class,LT-17110,Liz Thompson,Consumer,Little Rock,Arkansas,United States,72209.0,US,South,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,22.2,6,0.0,9.102,2.68,High,2011,2011-01,0.0,3.6999999999999997,2.183
134,31545,CA-2011-131926,2011-01-06,2011-06-06,Second Class,DW-13480,Dianna Wilson,Home Office,Lakeville,Minnesota,United States,55044.0,US,Central,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,25.92,4,0.0,12.4416,2.51,Medium,2011,2011-01,0.0,6.48,3.3696000000000006
138,31603,CA-2011-111003,2011-01-06,2011-06-06,Standard Class,CR-12625,Corey Roper,Home Office,Lakewood,New Jersey,United States,8701.0,US,East,OFF-BI-10001072,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",45.48,3,0.0,20.9208,1.35,Medium,2011,2011-01,0.0,15.159999999999998,8.186399999999999
142,32615,CA-2011-160773,2011-01-07,2011-05-07,Standard Class,LW-16825,Laurel Workman,Corporate,Deltona,Florida,United States,32725.0,US,South,TEC-PH-10004586,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,575.92,2,0.2,71.99,93.1,High,2011,2011-01,20.0,287.96,251.96499999999997
149,32012,CA-2011-153150,2011-01-07,2011-06-07,Second Class,Dl-13600,Dorris liebe,Corporate,Seattle,Washington,United States,98105.0,US,West,OFF-BI-10003355,Office Supplies,Binders,Cardinal Holdit Business Card Pockets,19.92,5,0.2,6.972,1.44,Medium,2011,2011-01,20.0,3.9840000000000004,2.5896
151,32616,CA-2011-160773,2011-01-07,2011-05-07,Standard Class,LW-16825,Laurel Workman,Corporate,Deltona,Florida,United States,32725.0,US,South,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,5.184,6,0.7,-3.6288,0.69,High,2011,2011-01,70.0,0.864,1.4687999999999999
172,33137,CA-2011-117345,2011-01-08,2011-05-08,Standard Class,BF-10975,Barbara Fisher,Corporate,Charlotte,North Carolina,United States,28205.0,US,South,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.364,7.09,Medium,2011,2011-01,20.0,39.152,24.47
173,33136,CA-2011-117345,2011-01-08,2011-05-08,Standard Class,BF-10975,Barbara Fisher,Corporate,Charlotte,North Carolina,United States,28205.0,US,South,OFF-AP-10001005,Office Supplies,Appliances,Honeywell Quietcare HEPA Air Cleaner,62.92,1,0.2,10.2245,5.62,Medium,2011,2011-01,20.0,62.92,52.6955
175,33135,CA-2011-117345,2011-01-08,2011-05-08,Standard Class,BF-10975,Barbara Fisher,Corporate,Charlotte,North Carolina,United States,28205.0,US,South,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,44.128,4,0.2,12.1352,4.31,Medium,2011,2011-01,20.0,11.032,7.998200000000001
177,33469,CA-2011-152296,2011-01-08,2011-03-08,First Class,IL-15100,Ivan Liston,Consumer,San Francisco,California,United States,94122.0,US,West,OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,19.752,3,0.2,6.9132,3.23,High,2011,2011-01,20.0,6.584,4.279599999999999
186,33134,CA-2011-117345,2011-01-08,2011-05-08,Standard Class,BF-10975,Barbara Fisher,Corporate,Charlotte,North Carolina,United States,28205.0,US,South,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,17.544,3,0.2,5.9211,0.93,Medium,2011,2011-01,20.0,5.848,3.8743000000000003
189,33707,CA-2011-162684,2011-01-08,2011-06-08,Standard Class,AS-10630,Ann Steele,Home Office,Philadelphia,Pennsylvania,United States,19120.0,US,East,OFF-FA-10000992,Office Supplies,Fasteners,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",5.68,2,0.2,1.917,0.77,High,2011,2011-01,20.0,2.84,1.8815
199,39539,CA-2011-109855,2011-01-09,2011-05-09,Standard Class,LH-16900,Lena Hernandez,Consumer,New York City,New York,United States,10009.0,US,East,TEC-AC-10002842,Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,357.0,3,0.0,57.12,31.59,High,2011,2011-01,0.0,119.0,99.96
206,34491,CA-2011-165428,2011-01-09,2011-04-09,First Class,JL-15130,Jack Lebron,Consumer,Houston,Texas,United States,77036.0,US,Central,OFF-PA-10004100,Office Supplies,Paper,Xerox 216,31.104,6,0.2,10.8864,9.9,High,2011,2011-01,20.0,5.184,3.3695999999999997
213,39538,CA-2011-109855,2011-01-09,2011-05-09,Standard Class,LH-16900,Lena Hernandez,Consumer,New York City,New York,United States,10009.0,US,East,OFF-BI-10004716,Office Supplies,Binders,Wilson Jones Hanging Recycled Pressboard Data Binders,23.744,2,0.2,8.3104,2.37,High,2011,2011-01,20.0,11.872,7.7168
214,32458,CA-2011-126522,2011-01-09,2011-05-09,Second Class,LT-16765,Larry Tron,Consumer,Escondido,California,United States,92025.0,US,West,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",53.94,3,0.0,15.6426,1.8,High,2011,2011-01,0.0,17.98,12.765799999999999
218,34490,CA-2011-165428,2011-01-09,2011-04-09,First Class,JL-15130,Jack Lebron,Consumer,Houston,Texas,United States,77036.0,US,Central,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,3.648,3,0.8,-6.0192,0.7,High,2011,2011-01,80.0,1.216,3.2224
228,40002,US-2011-132745,2011-01-10,2011-05-10,Standard Class,NF-18475,Neil Französisch,Home Office,Reno,Nevada,United States,89502.0,US,West,OFF-FA-10000254,Office Supplies,Fasteners,Sterling Rubber Bands by Alliance,4.71,1,0.0,0.0,0.63,High,2011,2011-01,0.0,4.71,4.71
229,32103,CA-2011-134313,2011-01-11,2011-07-11,Standard Class,RA-19915,Russell Applegate,Consumer,Denver,Colorado,United States,80219.0,US,West,TEC-PH-10001795,Technology,Phones,ClearOne CHATAttach 160 - speaker phone,1983.968,4,0.2,247.996,235.13,Medium,2011,2011-01,20.0,495.992,433.993
237,35365,CA-2011-102673,2011-01-11,2011-05-11,Standard Class,KH-16630,Ken Heidel,Corporate,Charlotte,North Carolina,United States,28205.0,US,South,TEC-PH-10004434,Technology,Phones,Cisco IP Phone 7961G VoIP phone - Dark gray,978.84,9,0.2,110.1195,56.8,Medium,2011,2011-01,20.0,108.76,96.5245
238,34128,CA-2011-148915,2011-01-11,2011-05-11,Standard Class,ND-18370,Natalie DeCherney,Consumer,Portland,Oregon,United States,97206.0,US,West,OFF-ST-10001128,Office Supplies,Storage,"Carina Mini System Audio Rack, Model AR050B",443.92,5,0.2,-94.333,54.44,High,2011,2011-01,20.0,88.784,107.65060000000001
249,38855,US-2011-137155,2011-01-11,2011-05-11,Standard Class,DL-12925,Daniel Lacy,Consumer,Long Beach,New York,United States,11561.0,US,East,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,533.94,3,0.0,154.8426,29.73,Medium,2011,2011-01,0.0,177.98000000000002,126.36580000000002
264,39685,CA-2011-139423,2011-01-11,2011-05-11,Standard Class,DG-13300,Deirdre Greer,Corporate,Orange,New Jersey,United States,7050.0,US,East,OFF-AP-10004708,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,76.12,2,0.0,22.0748,9.65,High,2011,2011-01,0.0,38.06,27.022600000000004
267,36124,CA-2011-152562,2011-01-11,2011-08-11,Standard Class,JO-15145,Jack O'Briant,Corporate,Richmond,Kentucky,United States,40475.0,US,South,OFF-ST-10000464,Office Supplies,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",69.52,2,0.0,19.4656,8.21,Low,2011,2011-01,0.0,34.76,25.0272
269,41165,CA-2011-114195,2011-01-11,2011-03-11,First Class,EA-14035,Erin Ashbrook,Corporate,Mason,Ohio,United States,45040.0,US,East,FUR-FU-10002253,Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",68.704,2,0.2,16.3172,7.45,Medium,2011,2011-01,20.0,34.352,26.193399999999997
279,35364,CA-2011-102673,2011-01-11,2011-05-11,Standard Class,KH-16630,Ken Heidel,Corporate,Charlotte,North Carolina,United States,28205.0,US,South,OFF-LA-10001771,Office Supplies,Labels,Avery 513,47.808,12,0.2,15.5376,3.79,Medium,2011,2011-01,20.0,3.984,2.6892
280,34129,CA-2011-148915,2011-01-11,2011-05-11,Standard Class,ND-18370,Natalie DeCherney,Consumer,Portland,Oregon,United States,97206.0,US,West,TEC-PH-10000673,Technology,Phones,Plantronics Voyager Pro HD - Bluetooth Headset,155.976,3,0.2,54.5916,3.74,High,2011,2011-01,20.0,51.992,33.7948
285,38856,US-2011-137155,2011-01-11,2011-05-11,Standard Class,DL-12925,Daniel Lacy,Consumer,Long Beach,New York,United States,11561.0,US,East,OFF-PA-10000806,Office Supplies,Paper,Xerox 1934,167.94,3,0.0,82.2906,2.83,Medium,2011,2011-01,0.0,55.98,28.5498
287,37192,CA-2011-168305,2011-01-11,2011-08-11,Standard Class,PL-18925,Paul Lucas,Home Office,Los Angeles,California,United States,90049.0,US,West,OFF-LA-10003498,Office Supplies,Labels,Avery 475,44.4,3,0.0,22.2,2.77,Medium,2011,2011-01,0.0,14.799999999999999,7.3999999999999995
289,32102,CA-2011-134313,2011-01-11,2011-07-11,Standard Class,RA-19915,Russell Applegate,Consumer,Denver,Colorado,United States,80219.0,US,West,OFF-AR-10001897,Office Supplies,Art,Model L Table or Wall-Mount Pencil Sharpener,43.176,3,0.2,4.3176,2.12,Medium,2011,2011-01,20.0,14.392000000000001,12.952800000000002
292,38857,US-2011-137155,2011-01-11,2011-05-11,Standard Class,DL-12925,Daniel Lacy,Consumer,Long Beach,New York,United States,11561.0,US,East,FUR-FU-10003142,Furniture,Furnishings,"Master Big Foot Doorstop, Beige",31.68,6,0.0,9.8208,1.9,Medium,2011,2011-01,0.0,5.28,3.6432
293,35455,CA-2011-126907,2011-01-11,2011-08-11,Standard Class,SM-20950,Suzanne McNair,Corporate,Chicago,Illinois,United States,60610.0,US,Central,OFF-PA-10000533,Office Supplies,Paper,Southworth Parchment Paper & Envelopes,15.696,3,0.2,5.1012,1.82,Low,2011,2011-01,20.0,5.232,3.5315999999999996
295,41167,CA-2011-114195,2011-01-11,2011-03-11,First Class,EA-14035,Erin Ashbrook,Corporate,Mason,Ohio,United States,45040.0,US,East,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,22.428,3,0.7,-17.9424,1.52,Medium,2011,2011-01,70.0,7.476,13.456800000000001
299,35363,CA-2011-102673,2011-01-11,2011-05-11,Standard Class,KH-16630,Ken Heidel,Corporate,Charlotte,North Carolina,United States,28205.0,US,South,OFF-AR-10000634,Office Supplies,Art,Newell 320,10.272,3,0.2,0.8988,1.21,Medium,2011,2011-01,20.0,3.424,3.1244
300,37193,CA-2011-168305,2011-01-11,2011-08-11,Standard Class,PL-18925,Paul Lucas,Home Office,Los Angeles,California,United States,90049.0,US,West,OFF-PA-10004947,Office Supplies,Paper,Staples,21.4,5,0.0,9.63,0.92,Medium,2011,2011-01,0.0,4.279999999999999,2.3539999999999996
301,36125,CA-2011-152562,2011-01-11,2011-08-11,Standard Class,JO-15145,Jack O'Briant,Corporate,Richmond,Kentucky,United States,40475.0,US,South,OFF-AR-10001919,Office Supplies,Art,"OIC #2 Pencils, Medium Soft",5.64,3,0.0,1.6356,0.75,Low,2011,2011-01,0.0,1.88,1.3347999999999998
303,35362,CA-2011-102673,2011-01-11,2011-05-11,Standard Class,KH-16630,Ken Heidel,Corporate,Charlotte,North Carolina,United States,28205.0,US,South,OFF-FA-10003021,Office Supplies,Fasteners,Staples,7.52,5,0.2,1.41,0.33,Medium,2011,2011-01,20.0,1.504,1.222
304,41166,CA-2011-114195,2011-01-11,2011-03-11,First Class,EA-14035,Erin Ashbrook,Corporate,Mason,Ohio,United States,45040.0,US,East,OFF-BI-10000494,Office Supplies,Binders,Acco Economy Flexible Poly Round Ring Binder,3.132,2,0.7,-2.61,0.1,Medium,2011,2011-01,70.0,1.566,2.871
305,33088,CA-2011-120474,2011-01-12,2011-03-12,First Class,RP-19390,Resi Pölking,Consumer,Madison,Wisconsin,United States,53711.0,US,Central,FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,2807.84,8,0.0,673.8816,487.15,High,2011,2011-01,0.0,350.98,266.7448
307,35791,CA-2011-150798,2011-01-12,2011-03-12,Second Class,JK-15730,Joe Kamberova,Consumer,Columbus,Ohio,United States,43229.0,US,East,FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,909.72,6,0.3,-51.984,133.2,Medium,2011,2011-01,30.0,151.62,160.28400000000002
308,36201,US-2011-161613,2011-01-12,2011-03-12,Second Class,MC-17605,Matt Connell,Corporate,Houston,Texas,United States,77070.0,US,Central,FUR-CH-10003746,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,674.058,3,0.3,-19.2588,123.32,Critical,2011,2011-01,30.0,224.686,231.10559999999998
312,39300,CA-2011-143210,2011-01-12,2011-03-12,First Class,AA-10645,Anna Andreadi,Consumer,Lowell,Massachusetts,United States,1852.0,US,East,TEC-PH-10004434,Technology,Phones,Cisco IP Phone 7961G VoIP phone - Dark gray,271.9,2,0.0,78.851,62.54,High,2011,2011-01,0.0,135.95,96.52449999999999
313,35788,CA-2011-150798,2011-01-12,2011-03-12,Second Class,JK-15730,Joe Kamberova,Consumer,Columbus,Ohio,United States,43229.0,US,East,TEC-CO-10001571,Technology,Copiers,Sharp 1540cs Digital Laser Copier,659.988,2,0.4,109.998,60.3,Medium,2011,2011-01,40.0,329.994,274.995
324,33089,CA-2011-120474,2011-01-12,2011-03-12,First Class,RP-19390,Resi Pölking,Consumer,Madison,Wisconsin,United States,53711.0,US,Central,OFF-AR-10000475,Office Supplies,Art,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",46.64,4,0.0,12.5928,8.88,High,2011,2011-01,0.0,11.66,8.511800000000001
331,39301,CA-2011-143210,2011-01-12,2011-03-12,First Class,AA-10645,Anna Andreadi,Consumer,Lowell,Massachusetts,United States,1852.0,US,East,FUR-FU-10003878,Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",45.84,3,0.0,15.5856,5.84,High,2011,2011-01,0.0,15.280000000000001,10.084800000000001
332,33372,CA-2011-131051,2011-01-12,2011-05-12,Standard Class,TR-21325,Toby Ritter,Consumer,San Francisco,California,United States,94122.0,US,West,FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",58.2,3,0.0,28.518,4.79,Medium,2011,2011-01,0.0,19.400000000000002,9.894
333,34495,CA-2011-131527,2011-01-12,2011-07-12,Standard Class,TB-21280,Toby Braunhardt,Consumer,Jacksonville,North Carolina,United States,28540.0,US,South,TEC-PH-10001644,Technology,Phones,"BlueLounge Milo Smartphone Stand, White/Metallic",95.968,4,0.2,9.5968,4.68,Medium,2011,2011-01,20.0,23.992,21.5928
341,35790,CA-2011-150798,2011-01-12,2011-03-12,Second Class,JK-15730,Joe Kamberova,Consumer,Columbus,Ohio,United States,43229.0,US,East,OFF-PA-10001972,Office Supplies,Paper,Xerox 214,36.288,7,0.2,12.7008,1.83,Medium,2011,2011-01,20.0,5.183999999999999,3.3695999999999993
345,39302,CA-2011-143210,2011-01-12,2011-03-12,First Class,AA-10645,Anna Andreadi,Consumer,Lowell,Massachusetts,United States,1852.0,US,East,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,9.82,2,0.0,3.2406,1.27,High,2011,2011-01,0.0,4.91,3.2897
347,35789,CA-2011-150798,2011-01-12,2011-03-12,Second Class,JK-15730,Joe Kamberova,Consumer,Columbus,Ohio,United States,43229.0,US,East,FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown",8.128,2,0.2,1.4224,0.94,Medium,2011,2011-01,20.0,4.064,3.3528000000000002
358,31837,CA-2011-140795,2011-02-02,2011-04-02,First Class,BD-11500,Bradley Drucker,Consumer,Green Bay,Wisconsin,United States,54302.0,US,Central,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,6,0.0,206.316,66.88,High,2011,2011-02,0.0,78.14999999999999,43.76399999999999
384,41243,CA-2011-111157,2011-02-03,2011-06-03,Standard Class,NH-18610,Nicole Hansen,Corporate,Philadelphia,Pennsylvania,United States,19120.0,US,East,TEC-AC-10004353,Technology,Accessories,Hypercom P1300 Pinpad,151.2,3,0.2,32.13,9.21,High,2011,2011-02,20.0,50.4,39.69
387,37355,CA-2011-107524,2011-02-03,2011-08-03,Standard Class,KN-16705,Kristina Nunn,Home Office,New York City,New York,United States,10009.0,US,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",36.4,5,0.0,17.472,2.18,Medium,2011,2011-02,0.0,7.279999999999999,3.7855999999999996
389,37354,CA-2011-107524,2011-02-03,2011-08-03,Standard Class,KN-16705,Kristina Nunn,Home Office,New York City,New York,United States,10009.0,US,East,OFF-EN-10001990,Office Supplies,Envelopes,Staples,11.36,2,0.0,5.3392,0.94,Medium,2011,2011-02,0.0,5.68,3.0103999999999997
390,41242,CA-2011-111157,2011-02-03,2011-06-03,Standard Class,NH-18610,Nicole Hansen,Corporate,Philadelphia,Pennsylvania,United States,19120.0,US,East,OFF-PA-10000327,Office Supplies,Paper,Xerox 1971,3.424,1,0.2,1.07,0.41,High,2011,2011-02,20.0,3.424,2.354
392,36980,CA-2011-164315,2011-02-04,2011-08-04,Standard Class,RD-19585,Rob Dowd,Consumer,Athens,Georgia,United States,30605.0,US,South,TEC-PH-10001128,Technology,Phones,Motorola Droid Maxx,1049.93,7,0.0,293.9804,37.67,Medium,2011,2011-02,0.0,149.99,107.99280000000002
399,36981,CA-2011-164315,2011-02-04,2011-08-04,Standard Class,RD-19585,Rob Dowd,Consumer,Athens,Georgia,United States,30605.0,US,South,OFF-AP-10003842,Office Supplies,Appliances,Euro-Pro Shark Turbo Vacuum,154.9,5,0.0,40.274,12.99,Medium,2011,2011-02,0.0,30.98,22.9252
400,40216,CA-2011-160276,2011-02-04,2011-08-04,Standard Class,AH-10690,Anna Häberlin,Corporate,Virginia Beach,Virginia,United States,23464.0,US,South,FUR-FU-10003192,Furniture,Furnishings,Luxo Adjustable Task Clamp Lamp,177.68,2,0.0,46.1968,10.84,Medium,2011,2011-02,0.0,88.84,65.7416
411,40124,US-2011-157847,2011-02-04,2011-06-04,Second Class,SC-20020,Sam Craven,Consumer,Houston,Texas,United States,77095.0,US,Central,OFF-PA-10001593,Office Supplies,Paper,Xerox 1947,33.488,7,0.2,10.465,1.58,Medium,2011,2011-02,20.0,4.784,3.289
412,36979,CA-2011-164315,2011-02-04,2011-08-04,Standard Class,RD-19585,Rob Dowd,Consumer,Athens,Georgia,United States,30605.0,US,South,OFF-PA-10004248,Office Supplies,Paper,Xerox 1990,15.84,3,0.0,7.128,1.19,Medium,2011,2011-02,0.0,5.28,2.904
414,40123,US-2011-157847,2011-02-04,2011-06-04,Second Class,SC-20020,Sam Craven,Consumer,Houston,Texas,United States,77095.0,US,Central,OFF-PA-10002986,Office Supplies,Paper,Xerox 1898,26.72,5,0.2,9.352,0.74,Medium,2011,2011-02,20.0,5.343999999999999,3.4736
